Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy,Train AUC ROC,Val AUC ROC,Train PR,Val PR,Train F1,Val F1,Train Recall,Val Recall,Train Int AP,Val Int AP,Train AP,Val AP
144,0.36,0.3917,0.8397,0.8296,0.915,0.901,0.8106,0.7977,0.8469,0.8383,0.8867,0.8832,0.8965,0.8679,0.8965,0.8679
145,0.3595,0.3909,0.8397,0.8318,0.9154,0.9018,0.8109,0.8068,0.8468,0.8384,0.886,0.8726,0.8977,0.8685,0.8977,0.8687
146,0.3588,0.3908,0.8403,0.8297,0.9156,0.9016,0.8114,0.7931,0.8473,0.8397,0.8865,0.8922,0.8979,0.8685,0.8979,0.8685
147,0.3563,0.3941,0.8415,0.8293,0.9164,0.9017,0.8129,0.7888,0.8484,0.8405,0.8871,0.8995,0.8983,0.8681,0.8983,0.8682
148,0.3574,0.3977,0.84,0.8248,0.9161,0.9002,0.8114,0.7785,0.847,0.8382,0.8859,0.9079,0.8987,0.8662,0.8987,0.8662
149,0.3564,0.3934,0.8415,0.8304,0.9166,0.9013,0.8121,0.8096,0.8487,0.8359,0.8886,0.864,0.8982,0.8677,0.8982,0.8678
150,0.3552,0.3922,0.8421,0.8297,0.9172,0.9011,0.8146,0.7958,0.8487,0.839,0.8858,0.8872,0.8997,0.8689,0.8997,0.869
151,0.3527,0.393,0.8434,0.8308,0.9184,0.9018,0.8146,0.7973,0.8502,0.8399,0.8891,0.8872,0.9009,0.8685,0.9009,0.8685
152,0.3569,0.3897,0.84,0.829,0.9165,0.9016,0.8109,0.7982,0.8471,0.8374,0.8867,0.8805,0.8992,0.8675,0.8993,0.8676
153,0.3517,0.3948,0.844,0.8285,0.9189,0.9006,0.8148,0.7952,0.8509,0.8377,0.8903,0.8849,0.9016,0.8675,0.9016,0.8675
154,0.3524,0.3923,0.8444,0.8287,0.9185,0.9007,0.8158,0.7948,0.8512,0.8381,0.8897,0.8863,0.9003,0.8678,0.9003,0.8678
155,0.3536,0.3936,0.8423,0.8306,0.918,0.9011,0.8134,0.8016,0.8492,0.8384,0.8883,0.8788,0.9005,0.8678,0.9005,0.8679
156,0.3508,0.3905,0.8446,0.8324,0.9192,0.9016,0.816,0.8042,0.8513,0.8398,0.8898,0.8788,0.9022,0.868,0.9022,0.8681
157,0.3525,0.3926,0.8439,0.8306,0.9185,0.9017,0.8159,0.8012,0.8505,0.8385,0.8882,0.8794,0.902,0.8682,0.902,0.8682
158,0.3522,0.3943,0.844,0.8326,0.9186,0.9009,0.8149,0.8014,0.8509,0.8408,0.8902,0.8843,0.9013,0.8663,0.9013,0.8664
159,0.3504,0.3999,0.8439,0.8275,0.9195,0.8999,0.8162,0.7848,0.8504,0.8396,0.8875,0.9026,0.903,0.8659,0.903,0.866
160,0.3527,0.3941,0.8446,0.8298,0.9187,0.901,0.8147,0.8004,0.8517,0.8378,0.8921,0.8788,0.9019,0.8676,0.9019,0.8676
161,0.3487,0.3936,0.8442,0.8327,0.9202,0.9023,0.815,0.8131,0.8511,0.8378,0.8906,0.864,0.9039,0.8693,0.9039,0.8694
162,0.3496,0.3946,0.8454,0.8314,0.9199,0.9007,0.8173,0.7938,0.852,0.8415,0.8898,0.8953,0.9031,0.8675,0.9031,0.8676
163,0.3492,0.3962,0.8443,0.8317,0.9202,0.9023,0.8159,0.8155,0.851,0.8359,0.8893,0.8574,0.9036,0.8695,0.9036,0.8695
164,0.3501,0.3922,0.8445,0.8319,0.9198,0.9016,0.8166,0.802,0.851,0.8399,0.8886,0.8814,0.9033,0.8689,0.9033,0.8689
165,0.3504,0.3931,0.8462,0.8324,0.9199,0.9023,0.8179,0.8053,0.8528,0.8395,0.8908,0.8768,0.9032,0.8692,0.9032,0.8692
166,0.3483,0.3915,0.8455,0.8293,0.9205,0.9024,0.8173,0.8039,0.852,0.8361,0.8898,0.8711,0.9038,0.8709,0.9038,0.871
167,0.348,0.3939,0.8456,0.833,0.9208,0.9014,0.8179,0.7987,0.852,0.8421,0.8891,0.8905,0.9043,0.8679,0.9043,0.868
