Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy,Train AUC ROC,Val AUC ROC,Train PR,Val PR,Train F1,Val F1,Train Recall,Val Recall,Train Int AP,Val Int AP,Train AP,Val AP
128,0.2947,0.3174,0.8787,0.8791,0.9418,0.9352,0.8487,0.8491,0.8837,0.8841,0.9216,0.9221,0.9261,0.9116,0.9261,0.9117
129,0.2946,0.3152,0.8788,0.8776,0.9417,0.9347,0.8484,0.8517,0.8839,0.882,0.9224,0.9145,0.9251,0.9102,0.9251,0.9102
130,0.2928,0.3144,0.8795,0.8778,0.9424,0.9342,0.8495,0.8519,0.8845,0.8821,0.9225,0.9146,0.9263,0.9095,0.9263,0.9095
131,0.2944,0.3164,0.8791,0.8798,0.9416,0.9342,0.8487,0.843,0.8841,0.886,0.9227,0.9335,0.9256,0.9082,0.9256,0.9082
132,0.2926,0.3115,0.8797,0.8796,0.9423,0.9364,0.8495,0.8399,0.8847,0.8863,0.923,0.938,0.9264,0.9122,0.9264,0.9122
133,0.2928,0.3161,0.8794,0.8765,0.9423,0.935,0.8489,0.8473,0.8845,0.8815,0.9232,0.9185,0.9263,0.9102,0.9263,0.9102
134,0.2922,0.3215,0.8795,0.8768,0.9426,0.9343,0.8496,0.8525,0.8845,0.8809,0.9224,0.9113,0.9268,0.9106,0.9268,0.9106
135,0.2914,0.3142,0.8803,0.8789,0.9426,0.9356,0.8501,0.8447,0.8853,0.8846,0.9234,0.9285,0.9267,0.9116,0.9267,0.9116
136,0.2905,0.3141,0.8798,0.8829,0.943,0.9363,0.8502,0.8423,0.8847,0.8894,0.9222,0.9422,0.9279,0.9118,0.9279,0.9118
137,0.2902,0.3153,0.8806,0.8797,0.9432,0.9356,0.8505,0.8483,0.8855,0.8848,0.9234,0.9246,0.9282,0.9122,0.9282,0.9122
138,0.2907,0.3146,0.8804,0.8785,0.9431,0.9357,0.8498,0.8531,0.8854,0.8827,0.924,0.9144,0.9275,0.912,0.9275,0.912
139,0.2909,0.3199,0.8807,0.8805,0.943,0.9363,0.851,0.8415,0.8855,0.887,0.923,0.9377,0.9272,0.9124,0.9272,0.9124
140,0.2911,0.3136,0.8807,0.8781,0.9432,0.9355,0.8507,0.8531,0.8856,0.8823,0.9234,0.9135,0.9273,0.9112,0.9273,0.9112
141,0.2729,0.3041,0.8893,0.8865,0.9492,0.9391,0.8588,0.852,0.8938,0.8918,0.9318,0.9355,0.935,0.9156,0.935,0.9157
142,0.2673,0.3091,0.8923,0.8838,0.9511,0.9389,0.8617,0.8484,0.8967,0.8894,0.9345,0.9347,0.9371,0.9161,0.9371,0.9161
143,0.2666,0.308,0.8924,0.8863,0.9515,0.9392,0.8623,0.8517,0.8967,0.8916,0.934,0.9354,0.9382,0.9158,0.9382,0.9158
